Course,Faculty,Sections Taught,Preference
Fall - ASEN 1009: Undergrad Aerospace Seminar,"Hodgkinson, Bobby",1.0,1.0
,,,
Fall - ASEN 1030: Intro to Computing - Lecture and Lab,"Le Moine, Alexandra",2.0,2.0
,,,
Fall - ASEN 1403: Intro to Rocket Engineering,"Rhode, Matt",1.0,1.0
,,,
Fall - COEN 1830: Special Topics,"Maute, Kurt",1.0,1.0
,,,
Fall - ASEN 2401: Statics ,"Knudsen, Erik",2.0,1.0
,,,
Fall - ASEN 2402: Thermodynamics,"Li, Xinlin",1.0,1.0
,,,
Fall - ASEN 3300: Electronics - Lecture and Lab (Might be team taught: 1-2 people),"Morton, Jade",1.0,1.0
Fall - ASEN 3300: Electronics - Lecture and Lab (Might be team taught: 1-2 people),"Palo, Scott",1.0,1.0
,,,
Fall - ASEN 3700: Orbital Mechanics/Attitude Dynamics and Control,"Nerem, Steve",1.0,1.0
Fall - ASEN 3700: Orbital Mechanics/Attitude Dynamics and Control,"Scheeres, Dan",1.0,1.0
,,,
Fall - ASEN 3711: Aerodynamics,"Jansen, Kenneth",1.0,1.0
,,,
Fall - ASEN 3712: Structures,"Hussein, Mahmoud",1.0,1.0
,,,
Fall - ASEN 3713: Thermodynamics and Heat Transfer,"Li, Xinlin",1.0,1.0
,,,
Fall - ASEN 3728: Aircraft Dynamics,"Argrow, Brian",1.0,1.0
,,,
Fall - ASEN 3801: Vehicle Dynamics and Control Lab (Might be team taught: 1-2 people),"Rafi, Melvin",2.0,4.0
,,,
Fall - ASEN 3802: Aerospace Sciences Lab 2 (Might be team taught: 1-3 people),"Evans, John",1.0,2.0
Fall - ASEN 3802: Aerospace Sciences Lab 2 (Might be team taught: 1-3 people),"Schwartz, Trudy",2.0,3.0
,,,
Fall - ASEN 4013: Foundations of Propulsion,"Nabity, James",1.0,1.0
,,,
Fall - ASEN 4067: Microavionics - Lecture and Lab,"Schwartz, Trudy",1.0,1.0
,,,
Fall - ASEN 4138: Aircraft Design - Lecture and Lab,"Mah, John",1.0,1.0
,,,
Fall and Spring - ASEN 4018: Senior Projects (Course Director),"Hoke, Charles",1.0,3.0
,,,
"Fall and Spring - ASEN 4018: Senior Projects (PAB Member, 8 people)","Hayman, Allison",1.0,1.0
"Fall and Spring - ASEN 4018: Senior Projects (PAB Member, 8 people)","Knudsen, Erik",1.0,1.0
"Fall and Spring - ASEN 4018: Senior Projects (PAB Member, 8 people)","Li, Xinlin",1.0,3.0
"Fall and Spring - ASEN 4018: Senior Projects (PAB Member, 8 people)","Mah, John",1.0,3.0
"Fall and Spring - ASEN 4018: Senior Projects (PAB Member, 8 people)","Wingate, Kathryn",1.0,2.0
"Fall and Spring - ASEN 4018: Senior Projects (PAB Member, 8 people)","Khan, Alia",1.0,1.0
,,,
Spring - ASEN 1030: Intro to Computing - Lecture and Lab,"Hodgkinson, Bobby",1.0,1.0
,,,
Spring - GEEN 1400: Freshman Projects,"Wingate, Kathryn",2.0,4.0
,,,
Spring - COEN 1830: Special Topics,"Hodgkinson, Bobby",1.0,1.0
,,,
Spring - ASEN 2403: Dynamics,"Rafi, Melvin",1.0,1.0
,,,
Spring - ASEN 3036: Intro to Human Spaceflight,"Arquilla, Katya",1.0,1.0
,,,
Spring - ASEN 3300: Electronics - Lecture and Lab (Might be team taught: 1-2 people),"Chu, Xinzhao",1.0,1.0
Spring - ASEN 3300: Electronics - Lecture and Lab (Might be team taught: 1-2 people),"Marshall, Bob",1.0,1.0
,,,
Spring - ASEN 3700: Orbital Mechanics/Attitude Dynamics and Control,"Holzinger, Marcus",1.0,1.0
,,,
Spring - ASEN 3711: Aerodynamics,"Farnsworth, John",1.0,1.0
,,,
Spring - ASEN 3712: Structures,"Lopez Jimenez, Francisco",1.0,2.0
,,,
Spring - ASEN 3713: Thermodynamics and Heat Transfer,"Le Moine, Alexandra",1.0,4.0
,,,
Spring - ASEN 3728: Aircraft Dynamics,"Ahmed, Nisar",1.0,1.0
,,,
Spring - ASEN 3801: Vehicle Dynamics and Control Lab (Might be team taught: 1-2 people),"Axelrad, Penny",1.0,2.0
,,,
Spring - ASEN 3802: Aerospace Sciences Lab 2 (Might be team taught: 1-3 people),"Glusman, Jeff",3.0,3.0
,,,
Spring - ASEN 4013: Foundations of Propulsion,"Minton, Timothy",1.0,1.0
,,,
Spring - ASEN 4138: Aircraft Design - Lecture and Lab,"Mah, John",1.0,1.0
,,,
